,Желаемая вакансия,Желаемая зарплата,Пол,Возраст,Местонахождения,Общий стаж,Работодатели,Ключевые навыки,Образование,Знание языков
116,Менеджер по продажам,45 000 руб.,Мужчина,,УФА,Опыт работы 1 год,"['SWIZZCORP ', 'TELETRADE, A1']",,"['УФИМСКИЙ ГОСУДАРСТВЕННЫЙ НЕФТЯНОЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ, УФА']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
117,Менеджер по продажам сантехники,60 000 руб.,Мужчина,33 года,МОСКВА,Опыт работы 11 лет 1 месяц,"['ООО НЕМЕЦКАЯ САНТЕХНИКА', 'МАКСЛЕВЕЛ', 'ООО АС ,СТРОЙ.ЦЕНТР ТЕРЕМОК', 'ООО ЖИРАФ']","['РАБОТА С ТЕКУЩЕЙ БАЗОЙ КЛИЕНТОВ', 'СОВРЕМЕННАЯ РОЗНИЦА', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ']","['СЕВЕРО-КАВКАЗСКИЙ ГОРНО-МЕТАЛЛУРГИЧЕСКИЙ ИНСТИТУТ (ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ), ВЛАДИКАВКАЗ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
118,Менеджер по продажам автомобилей,35 000 руб.,Мужчина,33 года,САМАРА,Опыт работы 4 года 2 месяца,['АВТОЦЕНТР НА ЗАВОДСКОМ. ОФИЦИАЛЬНЫЙ ДИЛЕР LADA'],['ХОЛОДНЫЕ ЗВОНКИ'],"['УРАЛЬСКАЯ ГОСУДАРСТВЕННАЯ ЮРИДИЧЕСКАЯ АКАДЕМИЯ, ЕКАТЕРИНБУРГ']",['РУССКИЙ']
119,Менеджер по продажам,110 000 руб.,Мужчина,29 лет,МОСКВА,Опыт работы 5 лет 10 месяцев,"['ООО ""АКАДЕМИЯ ТРЕЙДИНГА И ИНВЕСТИЦИЙ', 'ООО АНТАЛ СТРАХОВАНИЕ']","['УВЕРЕННЫЙ ПОЛЬЗОВАТЕЛЬ ПК (EXCEL, WORD)']",['МОСКОВСКИЙ ОТКРЫТЫЙ ИНСТИТУТ'],"['РУССКИЙ', 'АНГЛИЙСКИЙ']"
120,Менеджер по продажам ,40 000 руб.,Женщина,18 лет,КЛИН,Опыт работы 8 месяцев,['МОСКОВСКИЙ КРЕДИТНЫЙ БАНК'],"['ПОЛЬЗОВАТЕЛЬ ПК', 'ВНИМАТЕЛЬНОСТЬ', 'ГРАМОТНАЯ РЕЧЬ', 'РАБОТА В КОМАНДЕ', 'АКТИВНЫЕ ПРОДАЖИ', 'ДЕЛОПРОИЗВОДСТВО']",['МГЭУ'],['РУССКИЙ']
121,Менеджер по продажам,50 000 руб.,Мужчина,25 лет,САНКТ-ПЕТЕРБУРГ,Опыт работы 5 лет 6 месяцев,"['СВЯЗНОЙ', 'РОЗНИЧНАЯ СЕТЬ МТС', 'ООО БЕТАР ']","['MS EXCEL', 'MS WORD', '1C: ФИНАНСЫ']",[],['РУССКИЙ']
122,Менеджер по продажам,40 000 руб.,Женщина,37 лет,КЫЗЫЛ,Опыт работы 18 лет 10 месяцев,"['ИП ШОГЖАЛ', 'ИП АВДЕЕВА Н.В.', 'ООО ХКФ БАНК', 'ИП ИРГАШЕВА М.С.']",,['КОК-ТЕЙСКАЯ СРЕДНЯЯ ШКОЛА'],['РУССКИЙ']
123,Ведущий менеджер по продажам,90 000 руб.,Мужчина,50 лет,МОСКВА,Опыт работы 16 лет 2 месяца,"['НТВ-ПЛЮС, ТЕЛЕКОМПАНИЯ', 'ИНТЕРСТРОЙ']","['ЗНАНИЕ ТЕХНИКИ ПРОДАЖ, УМЕНИЕ РАБОТАТЬ СО СЛОЖНЫМИ КЛИЕНТАМИ, НАВЫКИ ПОИСКА И ПРИВЛЕЧЕНИЯ К СОТРУДНИ', 'РАБОТА С ТЕКУЩЕЙ БАЗОЙ КЛИЕНТОВ', 'АНАЛИТИКА ПРОДАЖ', 'ПРОДАЖИ ЧЕРЕЗ ДИСТРИБЬЮТОРОВ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'КОНТРОЛЬ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ', 'УМЕНИЕ РАБОТАТЬ В КОМАНДЕ', 'РАБОТА С ЖАЛОБАМИ КЛИЕНТОВ', 'ВЕДЕНИЕ ОТЧЕТНОСТИ', 'КОНТРОЛЬ ОТГРУЗОК', 'РАБОТА С БОЛЬШИМ ОБЪЕМОМ ИНФОРМАЦИИ', 'ПРОВЕДЕНИЕ ПРОМО АКЦИЙ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', '1С: ТОРГОВЛЯ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ']","['МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ РАДИОТЕХНИКИ, ЭЛЕКТРОНИКИ И АВТОМАТИКИ, МОСКВА']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
124,Менеджер по продажам ,50 000 руб.,Мужчина,37 лет,САНКТ-ПЕТЕРБУРГ,Опыт работы 17 лет 1 месяц,"['GOLD CATERING ', 'РЕСТОРАНЫ ХОЛДИНГА ГУТЦАЙТ ГРУП']",,"['САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ, САНКТ-ПЕТЕРБУРГ']",['РУССКИЙ']
125,Менеджер по продажам,50 000 руб.,Мужчина,42 года,ЕКАТЕРИНБУРГ,Опыт работы 19 лет 1 месяц,"['ЗАО ""НОВАКОМ""']","['•\tОПЫТ ПОИСКА И ПРИВЛЕЧЕНИЯ КЛИЕНТОВ, В ТОМ ЧИСЛЕ С ПОМОЩЬЮ «ХОЛОДНЫХ» ЗВОНКОВ', '•\tЗНАНИЕ РАЗЛИЧНЫХ ТЕХНОЛОГИЙ ПРОДАЖ', '•\tОПЫТ ВЕДЕНИЯ ПЕРЕГОВОРОВ', '•\tПК — ОПЫТНЫЙ ПОЛЬЗОВАТЕЛЬ', '•\tРАЗВИТИЕ НАПРАВЛЕНИЯ «С НУЛЯ»', '•\tЕСТЬ ОПЫТ ПО СБОРКЕ ЭЛЕКТРОТЕХНИЧЕСКОГО ОБОРУДОВАНИЯ', '•\tБОГАТЫЙ ОПЫТ ПОСТРОЕНИЯ СТРУКТУРИРОВАННЫХ КАБЕЛЬНЫХ СИСТЕМ', '•\tБОГАТЫЙ ОПЫТ ПОСТРОЕНИЯ ВОЛОКОННО-ОПТИЧЕСКИХ ЛИНИЙ СВЯЗИ, КАК ВНУТРЕННИХ, ТАК И ВНЕШНИХ', '•\tБОГАТЫЙ ОПЫТ СОСТАВЛЕНИЯ ТЕХНИЧЕСКИХ ЗАДАНИЙ ПО ПРОЕКТИРОВАНИЮ СТРУКТУРИРОВАННЫХ КАБЕЛЬНЫХ СИСТЕМ', '•\tБОГАТЫЙ ОПЫТ СОСТАВЛЕНИЯ КОММЕРЧЕСКИХ ПРЕДЛОЖЕНИЙ, ДОГОВОРОВ ПОСТАВКИ, ДОГОВОРОВ АРЕНДЫ ОБОРУДОВАН', '•\tОТЛИЧНОЕ ЗНАНИЕ ЛОГИСТИЧЕСКОЙ ЦЕПОЧКИ В ПРЕДЕЛАХ РФ, БОЛЬШОЙ ОПЫТ РАБОТЫ В СФЕРЕ ЛОГИСТИКИ, РАБОТА', '•\tСВОЯ БАЗА ПО ПОСТАВЩИКАМ ЭЛЕКТРОТЕХНИЧЕСКОЙ, СКС, ВОЛС ПРОДУКЦИИ']","['УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ ИМЕНИ ПЕРВОГО ПРЕЗИДЕНТА РОССИИ Б.Н. ЕЛЬЦИНА, ЕКАТЕРИНБУРГ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
126,Менеджер по продажам автомобилей,80 000 руб.,Мужчина,38 лет,ВОЛГОГРАД,Опыт работы 13 лет 7 месяцев,['ГК АГАТ'],['ОБУЧАЕМОСТЬ; ОПЫТ РАБОТЫ С ТЕХНИКОЙ YAMAHA;'],"['ВОЛГОГРАДСКАЯ АКАДЕМИЯ ГОСУДАРСТВЕННОЙ СЛУЖБЫ (РОССИЙСКАЯ АКАДЕМИЯ НАРОДНОГО ХОЗЯЙСТВА И ГОСУДАРСТВЕННОЙ СЛУЖБЫ ПРИ ПРЕЗИДЕНТЕ РОССИЙСКОЙ ФЕДЕРАЦИИ), ВОЛГОГРАД', 'ВОЛГОГРАДСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ (ВОЛГОГРАДСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ), ВОЛГОГРАД']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
127,Менеджер по продажам автозапчастей,50 000 руб.,Мужчина,32 года,АЛУШТА,Опыт работы 12 лет 2 месяца,"['АО "" БИПЭК АВТО КАЗАХСТАН""', 'ТОНОВЫЙ ЦЕНТР  ""CAR CITY""']","['ПРОДАЖИ ЗАПЧАСТЕЙ ДЛЯ ИНОСТРАННЫХ АВТОМОБИЛЕЙ', 'ПРОДАЖИ ФИЗИЧЕСКИМ ЛИЦАМ', 'ПРОДАЖИ ЗАПЧАСТЕЙ ДЛЯ РОССИЙСКИХ АВТОМОБИЛЕЙ', 'ПРОДАЖИ В ГОСУДАРСТВЕННЫЕ ОРГАНЫ', 'ПРОДАЖИ ЮРИДИЧЕСКИМ ЛИЦАМ', 'КОНСУЛЬТИРОВАНИЕ КЛИЕНТОВ', 'ЗНАНИЕ УСТРОЙСТВА АВТОМОБИЛЯ', '1С: СКЛАД', '1С: ТОРГОВЛЯ', '1С: ТОРГОВЛЯ И СКЛАД', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'РАБОТА С БАЗАМИ ДАННЫХ', 'РАБОТА С ПОСТАВЩИКАМИ', 'ВОДИТЕЛЬСКОЕ  УДОСТОВЕРЕНИЕ КАТЕГОРИИ BC', 'МОНИТОРИНГ РЫНКА', 'ВОЖДЕНИЕ АВТОМОБИЛЕЙ ПРЕДСТАВИТЕЛЬСКОГО КЛАССА', 'ОРИЕНТАЦИЯ НА КЛИЕНТА', 'МОБИЛЬНОСТЬ', 'ЗНАНИЕ 1С', 'ОРГАНИЗАЦИОННЫЕ НАВЫКИ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'АКТИВНЫЕ ПРОДАЖИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', '1С: ПРЕДПРИЯТИЕ 8', 'РАБОТА В КОМАНДЕ', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'ГРАМОТНАЯ РЕЧЬ']","['КАЗАХСКИЙ АВТОМОБИЛЬНО-ДОРОЖНЫЙ ИНСТИТУТ ИМЕНИ Л. Б. ГОНЧАРОВА, АЛМАТЫ', 'АЛМАТИНСКИЙ ГОСУДАРСТВЕННЫЙ КОЛЛЕДЖ НОВЫХ ТЕХНОЛОГИЙ', 'KIA DEALER ACADEMY', 'KIA DEALER ACADEMY', 'KIA DEALER ACADEMY']","['РУССКИЙ', 'АНГЛИЙСКИЙ', 'КАЗАХСКИЙ']"
128,Менеджер по продажам,50 000 руб.,Мужчина,23 года,ЕКАТЕРИНБУРГ,Опыт работы 1 год 2 месяца,['ООО СЕТЬ СВЯЗНОЙ'],"['КОММУНИКАБЕЛЬНОСТЬ', 'ОБУЧЕНИЕ И РАЗВИТИЕ', 'РАЗВИТИЕ ПРОДАЖ', 'РАБОТА В КОМАНДЕ', 'СТРЕССОУСТОЙЧИВОСТЬ', 'ИСПОЛНИТЕЛЬНОСТЬ', 'АНАЛИТИЧЕСКИЙ СКЛАД УМА', 'ДОБРОСОВЕСТНОСТЬ']",['ГЕОЛОГОВ РАЗВЕДОВАТЕДЬНЫЙ КОЛЛЕДЖ'],['РУССКИЙ']
129,Менеджер по продажам,90 000 руб.,Мужчина,26 лет,МОСКВА,Опыт работы 1 год 9 месяцев,"['АЛКОГОЛЬНАЯ СИБИРСКАЯ ГРУППА, ООО']","['ПРОВЕДЕНИЕ ПЕРЕГОВОРОВ', 'CRM', 'НАВЫКИ ПРОДАЖ', 'ОРИЕНТАЦИЯ НА РЕЗУЛЬТАТ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'РАБОТА С ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТЬЮ', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'НАВЫКИ ПЕРЕГОВОРОВ', 'ОРИЕНТАЦИЯ НА КЛИЕНТА', 'КЛИЕНТООРИЕНТИРОВАННОСТЬ', 'MS WORD']",['ГГТУ'],['РУССКИЙ']
130,"Менеджер по продажам, руководитель направления",45 000 руб.,Мужчина,32 года,КРАСНОДАР,Опыт работы 8 лет 7 месяцев,"['ООО ОСНОВА', 'ОКНА МАРКТ', 'ДОМ КИРПИЧА', 'ИНТЕРНЕТ-МАГАЗИН ЭЛЕКТРОНИКИ', 'ТОРГОВЫЙ ЦЕНТР «КВАДРАТ»', 'ОАО «МОДУС», АВТОЦЕНТР «СУЗУКИ»']","['ОБЛАДАЮ ОТЛИЧНЫМИ АНАЛИТИЧЕСКИМИ, КОММУНИКАТИВНЫМИ И ОРГАНИЗАЦИОННЫМИ НАВЫКАМИ. УМЕЮ ОПТИМИЗИРОВАТЬ']","['КУБАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, КРАСНОДАР']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
131,Менеджер по продажам автомобилей,10 000 руб.,Женщина,23 года,МОСКВА,Опыт работы 6 месяцев,['АВТОГАРАНТ'],['ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ'],"['МОСКОВСКИЙ ИНСТИТУТ ГОСУДАРСТВЕННОГО УПРАВЛЕНИЯ И ПРАВА, МОСКВА']",['АНГЛИЙСКИЙ']
132,Менеджер по продажам,50 000 руб.,Мужчина,26 лет,СОЧИ,Опыт работы 2 года 5 месяцев,['АО СВЯЗНОЙ ЛОГИСТИКА'],"['1C: ФИНАНСЫ', '1С-РАРУС']",['КОЛЛЕДЖ ПРИ БГПУ ИМ М. АКМУЛЛЫ'],['ТАТАРСКИЙ']
133,Менеджер по продажам услуг,120 000 руб.,Мужчина,31 год,ХИМКИ,Опыт работы 6 лет 10 месяцев,"['КОНЦЕПТ ООО', 'ALLEGRINI RUSSIA', 'LINDSTRÖM GROUP', 'НПП ГАРАНТ ООО', 'БИОРИТМ ООО']","['ХОЛОДНЫЕ ПРОДАЖИ', 'ХОЛОДНЫЕ ЗВОНКИ', 'ПРЯМЫЕ ПРОДАЖИ', 'B2B ПРОДАЖИ', 'АКТИВНЫЕ ПРОДАЖИ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ПЛАНИРОВАНИЕ ПРОДАЖ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'РАБОТА С ТЕКУЩЕЙ БАЗОЙ КЛИЕНТОВ', 'РАБОТА С ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТЬЮ', 'ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'РАЗВИТИЕ ПРОДАЖ', 'ПОДГОТОВКА КОММЕРЧЕСКИХ ПРЕДЛОЖЕНИЙ', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'НАВЫКИ ПРОДАЖ', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'КЛИЕНТООРИЕНТИРОВАННОСТЬ', 'СЕРТИФИКАЦИЯ ПРОДУКЦИИ', 'ОРИЕНТАЦИЯ НА РЕЗУЛЬТАТ', 'СЕРТИФИКАЦИЯ', 'ПРОВЕДЕНИЕ ПЕРЕГОВОРОВ С ПЕРВЫМИ ЛИЦАМИ КОМПАНИИ', 'РАЗВИТИЕ КЛЮЧЕВЫХ КЛИЕНТОВ', 'СОСТАВЛЕНИЕ ДОГОВОРОВ', 'РАБОТА С БОЛЬШИМ ОБЪЕМОМ ИНФОРМАЦИИ', 'ОРГАНИЗАЦИЯ ВСТРЕЧ', 'ТЕХНИКИ ПРОДАЖ', 'B2C ПРОДАЖИ']",['МОСКОВСКАЯ ФИНАНСОВО-ЮРИДИЧЕСКАЯ АКАДЕМИЯ'],"['РУССКИЙ', 'АНГЛИЙСКИЙ']"
134,Менеджер по продажам,50 000 руб.,Мужчина,21 год,МОСКВА,Опыт работы 1 год 7 месяцев,"['ООО ТАВАГО', 'ООО ""РЕТЕ МИРАБИЛИС""']","['НАВЫКИ ПРОДАЖ', 'КОНСУЛЬТИРОВАНИЕ КЛИЕНТОВ ПО ТЕЛЕФОНУ', 'ЭЛЕКТРОННАЯ ПОЧТА', 'ПОЛЬЗОВАТЕЛЬ ПК', 'СПОСОБНОСТЬ ОБУЧАТЬ ДРУГИХ', 'ОРГАНИЗАТОРСКИЕ НАВЫКИ', 'АКТИВНЫЕ ПРОДАЖИ', 'НАВЫКИ ПРЕЗЕНТАЦИИ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'РАЗВИТИЕ ПРОДАЖ', 'РАБОТА В КОМАНДЕ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'НАВЫКИ МЕЖЛИЧНОСТНОГО ОБЩЕНИЯ', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'ДЕЛОВАЯ ПЕРЕПИСКА', 'ГРАМОТНАЯ РЕЧЬ', 'B2B ПРОДАЖИ', 'ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'ПЛАНИРОВАНИЕ ПРОДАЖ', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'КОНСУЛЬТАТИВНЫЕ ПРОДАЖИ', 'НАВЫКИ ПЕРЕГОВОРОВ', 'ПРЯМЫЕ ПРОДАЖИ', 'ДЕЛОВАЯ КОММУНИКАЦИЯ', 'КРЕАТИВНОСТЬ', 'КОНСУЛЬТИРОВАНИЕ', 'РАБОТА С ВОЗРАЖЕНИЯМИ', 'УМЕНИЕ РАБОТАТЬ В КОМАНДЕ', 'РАБОТА С ЖАЛОБАМИ КЛИЕНТОВ']","['МОСКОВСКИЙ ФИНАНСОВО-ЮРИДИЧЕСКИЙ УНИВЕРСИТЕТ (МОСКОВСКАЯ ФИНАНСОВО-ЮРИДИЧЕСКАЯ АКАДЕМИЯ), МОСКВА', 'НАЦИОНАЛЬНЫЙ КОЛЛЕДЖ ТОРГОВЛИ ПРИ АЭЗМ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
135,Менеджер по продажам,40 000 руб.,Женщина,24 года,НОВОРОССИЙСК,Опыт работы 5 лет 1 месяц,"['90-60-90 МАСТЕРСКАЯ ТЕЛА', 'ФИТНЕС-КЛУБ ""ENERGY""', 'ЕВРОСЕТЬ', '""АВТОПЛАСТИК""']",,"['ФИНАНСОВЫЙ УНИВЕРСИТЕТ ПРИ ПРАВИТЕЛЬСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ, НОВОРОССИЙСК', 'НОВОКУЗНЕЦКИЙ ИНСТИУТ (ФИЛИАЛ) КЕМЕРОВСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА, НОВОКУЗНЕЦК']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
136,Старший менеджер по продажам,150 000 руб.,Мужчина,35 лет,МОСКВА,Опыт работы 14 лет 9 месяцев,"['АВИЛОН АВТОМОБИЛЬНАЯ ГРУППА', 'ПАНАВТО', 'ПАНАВТО', 'АВТОЦЕНТР НИССАН НА ТАГАНКЕ', 'АВТОМИР', 'ЕВРОСЕТЬ']","['УПРАВЛЕНИЕ ПРОДАЖАМИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'УПРАВЛЕНИЕ ПЕРСОНАЛОМ', 'ОБУЧЕНИЕ ПЕРСОНАЛА', 'ПЛАНИРОВАНИЕ ПРОДАЖ', 'ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'УПРАВЛЕНЧЕСКИЕ НАВЫКИ', 'ОРИЕНТАЦИЯ НА РЕЗУЛЬТАТ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'РАБОТА В КОМАНДЕ', 'УРЕГУЛИРОВАНИЕ КОНФЛИКТОВ', 'ДЕЛОВАЯ КОММУНИКАЦИЯ', 'КЛИЕНТООРИЕНТИРОВАННОСТЬ', 'НАВЫКИ ПЕРЕГОВОРОВ', 'СОПРОВОЖДЕНИЕ СДЕЛОК']","['РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНЫЙ УНИВЕРСИТЕТ', 'BISNES RELATIONS', 'АВИЛОН', 'ПАНАВТО']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
137,Менеджер по продажам,50 000 руб.,Мужчина,35 лет,САНКТ-ПЕТЕРБУРГ,Опыт работы 13 лет 7 месяцев,"['ПЕРВАЯ ЭКСПЕДИЦИОННАЯ КОМПАНИЯ', 'ТД ""ТРИ-Е""', 'СОТРАС-ТРЕЙД', 'АТЛАНТ-М, МЕЖДУНАРОДНЫЙ АВТОМОБИЛЬНЫЙ ХОЛДИНГ', 'АТЛАНТ-М, МЕЖДУНАРОДНЫЙ АВТОМОБИЛЬНЫЙ ХОЛДИНГ', 'НИССА ЦЕНТРУМ, ООО, Г. САНКТ-ПЕТЕРБУРГ', 'ЧАСТНЫЕ ПИВОВАРНИ ТИНЬКОФФ, Г. САНКТ-ПЕТЕРБУРГ']","['1С: БУХГАЛТЕРИЯ', 'B2B ПРОДАЖИ', 'ДОГОВОРНАЯ РАБОТА', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ОРГАНИЗАЦИЯ ВСТРЕЧ', 'ОРГАНИЗАЦИЯ ПРЕЗЕНТАЦИЙ', 'ТЕХНИКИ ПРОДАЖ', 'ХОЛОДНЫЕ ЗВОНКИ', 'ХОЛОДНЫЕ ПРОДАЖИ']","['РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ ГИДРОМЕТЕОРОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ, САНКТ-ПЕТЕРБУРГ', 'КОЛЛЕДЖ ""СТАНКОЭЛЕКТРОН""']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
138,Менеджер по продажам,110 000 руб.,Женщина,42 года,МОСКВА,Опыт работы 3 года 10 месяцев,"['СТИЛЬ ЖИЗНИ', 'ДОКТОР МЕЗО', 'СПИК +М']","['ПОЛЬЗОВАТЕЛЬ ПК', 'РАБОТА С КАССОЙ', 'КОНСУЛЬТИРОВАНИЕ', 'ГРАМОТНАЯ РЕЧЬ', 'РАБОТА С ОРГТЕХНИКОЙ', 'МЕДИЦИНСКАЯ ДОКУМЕНТАЦИЯ', 'АДМИНИСТРИРОВАНИЕ', 'ПОИСК ИНФОРМАЦИИ В ИНТЕРНЕТ', 'РАБОТА В КОМАНДЕ', 'МАТЕРИАЛЬНАЯ ОТВЕСТВЕННОСТЬ', 'РАБОТА С ЛЮДЬМИ', 'АКТИВНЫЕ ПРОДАЖИ', 'ОФОРМЛЕНИЕ ДОКУМЕНТАЦИИ']",['ВЗЭФИ'],"['РУССКИЙ', 'АНГЛИЙСКИЙ']"
139,Менеджер по продажам ,40 000 руб.,Мужчина,29 лет,ВЕРХНИЙ УФАЛЕЙ,Опыт работы 5 лет 7 месяцев,"['КОРОЛЬ СЫРОВ', 'САНФРУТ, ООО']",,['МИАССКИЙ ЭЛЕКТРОМЕХАНИЧЕСКИЙ ТЕХНИКУМ'],['РУССКИЙ']
140,Менеджер по продажам,150 000 руб.,Мужчина,35 лет,МОСКВА,Опыт работы 8 лет 3 месяца,"['ООО АРМЯНСКИЙ КОНЬЯК ', 'АГРОСЭКО К, ООО', 'ИП КОРОБОВ В. Ю.', 'ОП-4 УВД ПО Г. КУРСКУ']",['ЗНАНИЕ ТЕХНИКИ ПРОДАЖ. УМЕНИЕ ВЕСТИ ПЕРЕГОВОРЫ. ВЕДЕНИЕ И РАСШИРЕНИЕ КЛИЕНТСКОЙ БАЗЫ.'],"['РЕГИОНАЛЬНЫЙ ОТКРЫТЫЙ СОЦИАЛЬНЫЙ ИНСТИТУТ, КУРСК', 'AIM TRAINING GROUP ОБУЧЕНИЕ РАЗВИТИЕ КОНСАЛТИНГ']",['РУССКИЙ']
141,Менеджер по продажам,40 000 руб.,Женщина,24 года,НОВОРОССИЙСК,Опыт работы 5 лет 1 месяц,"['90-60-90 МАСТЕРСКАЯ ТЕЛА', 'ФИТНЕС-КЛУБ ""ENERGY""', 'ЕВРОСЕТЬ', '""АВТОПЛАСТИК""']",,"['ФИНАНСОВЫЙ УНИВЕРСИТЕТ ПРИ ПРАВИТЕЛЬСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ, НОВОРОССИЙСК', 'НОВОКУЗНЕЦКИЙ ИНСТИУТ (ФИЛИАЛ) КЕМЕРОВСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА, НОВОКУЗНЕЦК']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
142,менеджер по продажам,150 000 руб.,Мужчина,43 года,МОСКВА,Опыт работы 19 лет 5 месяцев,"['ООО «АНТЕС»', 'ООО «ПОЛИ-ПАК Р»', 'ООО ""САНТЕХСНАБ А""', 'ООО ""СК СТРОН""']",,"['МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПРИРОДООБУСТРОЙСТВА, МОСКВА']",['РУССКИЙ']
143,Менеджер по продажам,100 000 руб.,Мужчина,,МОСКВА,Опыт работы 3 года 4 месяца,"['SERVICEGURU', '2ГИС', 'TELETRADE', 'TELETRADE']","['ХОЛОДНЫЕ ЗВОНКИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'ДЕЛОВАЯ ПЕРЕПИСКА', 'НАВЫКИ ПРОДАЖ', 'КОНСУЛЬТИРОВАНИЕ КЛИЕНТОВ', 'B2B ПРОДАЖИ', 'B2C ПРОДАЖИ', 'УПРАВЛЕНИЕ ПРОДАЖАМИ']","['РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНЫЙ УНИВЕРСИТЕТ, МОСКВА']",['РУССКИЙ']
144,Менеджер по продажам ,50 000 руб.,Мужчина,31 год,КРАСНОЯРСК,Опыт работы 8 лет 7 месяцев,"['УЗГО', 'МАНГО ТЕЛЕКОМ', 'РУЦТЕЛ', 'СЛЕТАТЬ.RU', 'МЕГАФОН']",,"['ВОСТОЧНО-СИБИРСКИЙ ИНСТИТУТ ТУРИЗМА (ФИЛИАЛ) РОССИЙСКОЙ МЕЖДУНАРОДНОЙ АКАДЕМИИ ТУРИЗМА, КРАСНОЯРСК']",['РУССКИЙ']
